species	common_name	animal_class	lifespan	ensembl_url	taxon
:Strigops_habroptila	Kakapo	ens:Aves	60.0	<https://www.ensembl.org/Strigops_habroptila>	ens:taxon#2489341
:Gallus_gallus	Red junglefowl	ens:Aves	30.0	<https://www.ensembl.org/Gallus_gallus>	ens:taxon#9031
:Parus_major	Great tit	ens:Aves	15.4	<https://www.ensembl.org/Parus_major>	ens:taxon#9157
:Zonotrichia_albicollis	White-throated sparrow	ens:Aves	14.9	<https://www.ensembl.org/Zonotrichia_albicollis>	ens:taxon#44394
:Cyanistes_caeruleus	Blue tit	ens:Aves	14.6	<https://www.ensembl.org/Cyanistes_caeruleus>	ens:taxon#156563
:Meleagris_gallopavo	Wild turkey	ens:Aves	13.0	<https://www.ensembl.org/Meleagris_gallopavo>	ens:taxon#9103
:Taeniopygia_guttata	Zebra finch	ens:Aves	12.0	<https://www.ensembl.org/Taeniopygia_guttata>	ens:taxon#59729
:Coturnix_japonica	Japanese quail	ens:Aves	6.0	<https://www.ensembl.org/Coturnix_japonica>	ens:taxon#93934
:Callorhinchus_milii	Elephant fish	ens:Chondrichthyes	6.0	<https://www.ensembl.org/Callorhinchus_milii>	ens:taxon#7868
:Latimeria_chalumnae	Coelacanth	ens:Coelacanthi	48.0	<https://www.ensembl.org/Latimeria_chalumnae>	ens:taxon#7897
:Homo_sapiens	Human	ens:Mammalia	122.5	<https://www.ensembl.org/Homo_sapiens>	ens:taxon#9606
:Pan_troglodytes	Chimpanzee	ens:Mammalia	59.4	<https://www.ensembl.org/Pan_troglodytes>	ens:taxon#9598
:Equus_caballus	Horse	ens:Mammalia	57.0	<https://www.ensembl.org/Equus_caballus>	ens:taxon#9796
:Pan_paniscus	Pygmy chimpanzee or bonobo	ens:Mammalia	55.0	<https://www.ensembl.org/Pan_paniscus>	ens:taxon#9597
:Tursiops_truncatus	Bottlenosed dolphin	ens:Mammalia	51.6	<https://www.ensembl.org/Tursiops_truncatus>	ens:taxon#9739
:Macaca_mulatta	Rhesus monkey	ens:Mammalia	40.0	<https://www.ensembl.org/Macaca_mulatta>	ens:taxon#9544
:Macaca_fascicularis	Long-tailed macaque	ens:Mammalia	39.0	<https://www.ensembl.org/Macaca_fascicularis>	ens:taxon#9541
:Macaca_nemestrina	Pigtail macaque	ens:Mammalia	37.6	<https://www.ensembl.org/Macaca_nemestrina>	ens:taxon#9545
:Ailuropoda_melanoleuca	Giant panda	ens:Mammalia	36.8	<https://www.ensembl.org/Ailuropoda_melanoleuca>	ens:taxon#9646
:Ursus_americanus	American black bear	ens:Mammalia	34.0	<https://www.ensembl.org/Ursus_americanus>	ens:taxon#9643
:Heterocephalus_glaber	Naked mole-rat	ens:Mammalia	31.0	<https://www.ensembl.org/Heterocephalus_glaber>	ens:taxon#10181
:Rhinolophus_ferrumequinum	Greater horseshoe bat	ens:Mammalia	30.5	<https://www.ensembl.org/Rhinolophus_ferrumequinum>	ens:taxon#59479
:Felis_catus	Domestic cat	ens:Mammalia	30.0	<https://www.ensembl.org/Felis_catus>	ens:taxon#9685
:Sus_scrofa	Wild boar	ens:Mammalia	27.0	<https://www.ensembl.org/Sus_scrofa>	ens:taxon#9823
:Bos_grunniens	Yak	ens:Mammalia	26.3	<https://www.ensembl.org/Bos_grunniens>	ens:taxon#30521
:Ovis_aries	Domestic sheep or mouflon	ens:Mammalia	22.8	<https://www.ensembl.org/Ovis_aries>	ens:taxon#9940
:Callithrix_jacchus	White-tufted-ear marmoset	ens:Mammalia	22.8	<https://www.ensembl.org/Callithrix_jacchus>	ens:taxon#9483
:Ornithorhynchus_anatinus	Duck-billed platypus	ens:Mammalia	22.6	<https://www.ensembl.org/Ornithorhynchus_anatinus>	ens:taxon#9258
:Phascolarctos_cinereus	Koala	ens:Mammalia	22.1	<https://www.ensembl.org/Phascolarctos_cinereus>	ens:taxon#38626
:Capra_hircus	Domestic goat	ens:Mammalia	20.8	<https://www.ensembl.org/Capra_hircus>	ens:taxon#9925
