"","node1","predicate","node2","proportion"
"1","PICALM","is father of","ASAH1",1
"2","PICALM","is father of","PCNA",1
"3","PICALM","is son of","STOM",0.78
"4","PICALM","is son of","MTCP1",0.89
"5","PICALM","is father of","YTHDC1",0.84
"6","ORC1","is son of","SIDT2",0.9
"7","ORC1","is son of","KLHL33",0.61
"8","ASAH1","is son of","PICALM",1
"9","SPATA20","is son of","NUCKS1",0.95
"10","SPATA20","is father of","TESC",0.99
"11","SPATA20","is father of","RASSF4",0.97
"12","SPATA20","is father of","SUMO1",0.95
"13","SPATA20","is father of","lifespan",0.91
"14","GLP2R","is son of","DCTD",0.99
"15","GLP2R","is son of","ADAMTS13",1
"16","GLP2R","is son of","TRIM66",0.99
"17","NUCKS1","is father of","SPATA20",0.95
"18","NUCKS1","is son of","HNRNPM",1
"19","NUCKS1","is father of","DCTD",0.75
"20","MOV10L1","is father of","PDE6B",0.85
"21","MOV10L1","is son of","TRIM66",0.74
"22","MOV10L1","is son of","TMEM182",0.88
"23","TESC","is son of","SPATA20",0.99
"24","TESC","is father of","ARMC12",0.9
"25","HNRNPM","is father of","NUCKS1",1
"26","HNRNPM","is father of","GNL1",0.81
"27","CPVL","is son of","STOM",1
"28","CPVL","is son of","SIDT2",1
"29","CPVL","is father of","TMEM182",0.98
"30","CPVL","is father of","STPG4",0.96
"31","RASSF4","is son of","SPATA20",0.97
"32","RASSF4","indeterminate","YTHDC1",0.93
"33","TWNK","is son of","NDUFB11",1
"34","SUMO1","is son of","SPATA20",0.95
"35","SUMO1","is son of","DCTD",0.95
"36","ECHDC2","is son of","LIMD2",0.73
"37","ECHDC2","is son of","STOM",1
"38","ECHDC2","is son of","ADAMTS13",0.9
"39","DCTD","is father of","GLP2R",0.99
"40","DCTD","is son of","NUCKS1",0.75
"41","DCTD","is father of","SUMO1",0.95
"42","DCTD","is father of","ARMC12",0.97
"43","DCTD","is father of","CA3",1
"44","DCTD","indeterminate","lifespan",0.88
"45","PCNA","is son of","PICALM",1
"46","PCNA","is son of","LIMD2",0.73
"47","PCNA","is son of","MTCP1",0.85
"48","PDE6B","is son of","MOV10L1",0.85
"49","PDE6B","is son of","GNL1",0.61
"50","YWHAQ","is son of","GNL1",0.89
"51","LIMD2","is father of","ECHDC2",0.73
"52","LIMD2","is father of","PCNA",0.73
"53","LIMD2","is son of","STPG4",0.76
"54","NDUFB11","is father of","TWNK",1
"55","STOM","is father of","PICALM",0.78
"56","STOM","is father of","CPVL",1
"57","STOM","is father of","ECHDC2",1
"58","STOM","indeterminate","lifespan",0.61
"59","SIDT2","is father of","ORC1",0.9
"60","SIDT2","is father of","CPVL",1
"61","ARMC12","is son of","TESC",0.9
"62","ARMC12","is son of","DCTD",0.97
"63","ADAMTS13","is father of","GLP2R",1
"64","ADAMTS13","is father of","ECHDC2",0.9
"65","CA3","is son of","DCTD",1
"66","CA3","is son of","TMEM182",0.98
"67","CA3","is son of","C6orf89",1
"68","TRIM66","is father of","GLP2R",0.99
"69","TRIM66","is father of","MOV10L1",0.74
"70","TRIM66","is son of","PIP4K2B",0.64
"71","TMEM182","is father of","MOV10L1",0.88
"72","TMEM182","is son of","CPVL",0.98
"73","TMEM182","is father of","CA3",0.98
"74","KLHL33","is father of","ORC1",0.61
"75","C6orf89","is father of","CA3",1
"76","C6orf89","is son of","lifespan",0.86
"77","MTCP1","is father of","PICALM",0.89
"78","MTCP1","is father of","PCNA",0.85
"79","STPG4","is son of","CPVL",0.96
"80","STPG4","is father of","LIMD2",0.76
"81","PIP4K2B","is father of","TRIM66",0.64
"82","YTHDC1","is son of","PICALM",0.84
"83","YTHDC1","indeterminate","RASSF4",0.93
"84","GNL1","is son of","HNRNPM",0.81
"85","GNL1","is father of","PDE6B",0.61
"86","GNL1","is father of","YWHAQ",0.89
"87","lifespan","is son of","SPATA20",0.91
"88","lifespan","indeterminate","DCTD",0.88
"89","lifespan","indeterminate","STOM",0.61
"90","lifespan","is father of","C6orf89",0.86
